id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11508,https://www.airbnb.com/rooms/11508,2.02501E+13,30/01/2025,city scrape,Amazing Luxurious Apt-Palermo Soho,LUXURIOUS 1 BDRM APT- POOL/ GYM/ 24-HR SECURITY in Palermo Soho,"AREA: PALERMO SOHO<br /><br />Minutes walking distance from most popular bars, restaurants and boutiques<br />Buenos Aires Eco-Park within walking distance<br />Botanical Garden and magnificent park with lake (“Bosques de Palermo”) within walking distance<br />One block from Santa Fe Avenue and “D Line” subway <br />All major bus lines within walking distance",https://a0.muscache.com/pictures/19357696/b1de16cb_original.jpg,42762,https://www.airbnb.com/users/show/42762,Candela,01/10/2009,"New York, NY",-,within an hour,100%,79%,t,https://a0.muscache.com/im/users/42762/profile_pic/1332809447/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/42762/profile_pic/1332809447/original.jpg?aki_policy=profile_x_medium,Palermo,1,2,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58184,-58.42415,Entire condo,Entire home/apt,2,1,1 bath,1,1,"[""Bathtub"", ""Air conditioning"", ""Bed linens"", ""Hair dryer"", ""Cleaning products"", ""TV with standard cable"", ""Books and reading material"", ""Outdoor furniture"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Paid washer \u2013 In building"", ""Private entrance"", ""Dishes and silverware"", ""Elevator"", ""Essentials"", ""Oven"", ""Clothing storage: closet and dresser"", ""Drying rack for clothing"", ""Hangers"", ""Laundromat nearby"", ""Paid street parking off premises"", ""Microwave"", ""Private patio or balcony"", ""Shared pool"", ""Single level home"", ""Stove"", ""Room-darkening shades"", ""Wine glasses"", ""Hot water"", ""Wifi"", ""Dining table"", ""Shared sauna"", ""Paid dryer \u2013 In building"", ""Toaster"", ""Extra pillows and blankets"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Bidet"", ""Refrigerator"", ""Gym"", ""Long term stays allowed"", ""Kitchen"", ""Freezer"", ""Safe""]",67518,3,1125,3,3,1125,1125,3,1125,,t,4,4,25,300,30/01/2025,44,5,1,271,4,30,2025540,02/07/2012,26/01/2025,4.82,4.93,4.88,4.93,4.98,4.93,4.86,,f,1,1,0,0,0.29
14222,https://www.airbnb.com/rooms/14222,2.02501E+13,30/01/2025,city scrape,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",Beautiful cozy apartment in excellent location in Palermo.1 lovely bedroom for 2 people.1 functional bathroom w/running hot water.Spacious living room facing a small patio w/plants.Fully-equipped kitchen. One extra space with a single bed (no door not a proper room just a space). Lovely and comfy! :),"Palermo is such a perfect place to explore the city. It is really well located for sight seeing, as much as for enjoying peaceful moments, because it´s safe, and riddled with bars, cafes and restaurants.<br /><br />CINEMA, GROCERY & ALTO PALERMO SHOPPING<br />You'll find a cheap chinese market around the corner and if you cross the street you'll find “Disco”, a well-known supermarket chain in Buenos Aires. You'll also find one of the most popular cinemas in town “Cinemark Palermo” and a great grocery with fresh fruit and vegetables. You're also just one block away from “Alto Palermo”, a shopping centre full of stores and restaurants and a big Starbucks' Coffee. There's also a Natural Food Market one block away from home!<br /><br />ENJOY PALERMO!<br />Well, as you can see, you'll be staying in a privileged neighborhood and if you like walking around, you'll come across a coffee store, laundry, natural food market, convenience store open 24 hours, restaurants, and almost anything you ca",https://a0.muscache.com/pictures/4695637/bbae8e87_original.jpg,87710233,https://www.airbnb.com/users/show/87710233,María,03/08/2016,"Buenos Aires, Argentina","Soy Organizadora de Eventos, me gusta relacionarme con las personas y conocer gente nueva.
Siempre que puedo me organizo algún viaje. Disfruto de conocer nuevas culturas y en especial su gastronomía. Los destinos de climas cálidos y playa son los que en general más me gusta visitar.
Así como me gusta viajar y sentirme bien recibida como extranjera, también me gusta recibir viajeros y hacerlos sentir como en su casa durante su estadía en mi país",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/dc9d9f11-1085-42b6-8125-ab00504a68b2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dc9d9f11-1085-42b6-8125-ab00504a68b2.jpg?aki_policy=profile_x_medium,,7,16,"['email', 'phone']",t,t,"Palermo/Buenos Aires, Autonomous City of Buenos Aires, Argentina",Palermo,,-34.58617,-58.41036,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Bathtub"", ""Air conditioning"", ""TV"", ""Heating"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dishes and silverware"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Private patio or balcony"", ""Stove"", ""Washer"", ""Room-darkening shades"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Refrigerator"", ""Long term stays allowed"", ""Kitchen""]",22375,7,40,7,7,1125,1125,7,1125,,t,13,43,44,44,30/01/2025,123,8,1,44,8,112,2506000,10/07/2012,18/01/2025,4.77,4.76,4.77,4.82,4.9,4.87,4.75,,f,6,6,0,0,0.8
15074,https://www.airbnb.com/rooms/15074,2.02501E+13,30/01/2025,previous scrape,ROOM WITH RIVER SIGHT,,,https://a0.muscache.com/pictures/91166/c0fdcb4f_original.jpg,59338,https://www.airbnb.com/users/show/59338,Monica,02/12/2009,,,N/A,N/A,N/A,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,2,2,[],f,f,,Nuñez,,-34.53892,-58.46599,Private room in rental unit,Private room,1,null,1 bath,null,null,"[""Washer"", ""Air conditioning"", ""Dryer"", ""TV with standard cable"", ""Wifi"", ""Heating"", ""Kitchen""]",null,29,730,29,29,730,730,29,730,,,0,0,0,0,30/01/2025,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,,f,1,0,1,0,null
16695,https://www.airbnb.com/rooms/16695,2.02501E+13,30/01/2025,city scrape,DUPLEX LOFT 2 - SAN TELMO,,"San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/619c33a9-0618-4f36-a2c2-1e2ebc1f88cb.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,21/12/2009,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. 
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. 
I love travel around the world and know new cultures. 
I am studying Italian and English. 
I like meditation, I  go to the gym 3 time per week.  
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses.
I used airbnb for same rents when I travel and had very nice experience! 
 
Mariano",within an hour,95%,94%,t,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,11,13,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Monserrat,,-34.61439,-58.37611,Entire loft,Entire home/apt,4,1,1 bath,1,1,"[""Backyard"", ""Air conditioning"", ""Patio or balcony"", ""Hair dryer"", ""TV with standard cable"", ""Heating"", ""Paid parking off premises"", ""Dishes and silverware"", ""Essentials"", ""Hangers"", ""Microwave"", ""Luggage dropoff allowed"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Host greets you"", ""Iron"", ""Refrigerator"", ""Fire extinguisher"", ""Long term stays allowed"", ""Kitchen""]",52511,2,1125,2,2,1125,1125,2,1125,,t,30,60,90,365,30/01/2025,45,0,0,336,0,0,0,04/03/2011,30/11/2019,4.28,4.59,4.29,4.83,4.8,4.39,4.41,,t,9,9,0,0,0.27
20062,https://www.airbnb.com/rooms/20062,2.02501E+13,30/01/2025,city scrape,PENTHOUSE /Terrace & pool /City views /2bedrooms,,,https://a0.muscache.com/pictures/165679/2eb44847_original.jpg,75891,https://www.airbnb.com/users/show/75891,Sergio,31/01/2010,"Buenos Aires, Argentina","Soy Sergio, vivo en Buenos Aires, y me gusta recepcionar personas de distintos paises.
Revise mi anuncio para su mejor comodidad y si tiene dudas, no deje de preguntar",within an hour,100%,99%,,https://a0.muscache.com/im/users/75891/profile_pic/1264968642/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/75891/profile_pic/1264968642/original.jpg?aki_policy=profile_x_medium,Palermo Hollywood,6,6,"['email', 'phone']",t,t,,Palermo,,-34.581848,-58.441605,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2,2,"[""Bathtub"", ""Shared outdoor pool - available all year, open 24 hours, rooftop"", ""Bed linens"", ""Hair dryer"", ""Cleaning products"", ""Books and reading material"", ""Outdoor furniture"", ""Heating - split type ductless system"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dishes and silverware"", ""Elevator"", ""Outdoor shower"", ""Private hot tub - available seasonally"", ""Essentials"", ""32 inch TV with Netflix, standard cable"", ""Crib"", ""Oven"", ""Drying rack for clothing"", ""Hangers"", ""Private backyard"", ""Microwave"", ""Private patio or balcony"", ""Stove"", ""Room-darkening shades"", ""Coffee"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Wine glasses"", ""Hot water"", ""Wifi"", ""Self check-in"", ""Toaster"", ""Outdoor dining area"", ""City skyline view"", ""Pack \u2019n play/Travel crib - available upon request"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Smart lock"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Generico sound system with aux"", ""Bidet"", ""Refrigerator"", ""Fire extinguisher"", ""Long term stays allowed""...",113360,2,365,2,3,1125,1125,2,1125,,t,6,13,29,209,30/01/2025,330,25,2,209,25,150,17004000,19/05/2010,17/01/2025,4.93,4.92,4.87,4.94,4.93,4.93,4.79,,f,4,4,0,0,1.84
20429,https://www.airbnb.com/rooms/20429,2.02501E+13,30/01/2025,previous scrape,Hermoso  y acogedor departamento.,"Cozy apartment, bright, decorated from the sensitivity of a plastic artist. An oasis in the middle of the city.","Historic neighborhood, 5 min walk from San Telmo. 100 meters from the entrance to the subway.",https://a0.muscache.com/pictures/1a06e5c1-ce6b-4afa-a7d3-1ef1ad3afc6d.jpg,77065,https://www.airbnb.com/users/show/77065,Marcelo,03/02/2010,"Buenos Aires, Argentina","Soy Marcelo, de Argentina, tengo 48 años, soy Artista Plastico, me gusta mucho viajar, y compartir momentos con personas de todas partes. Soy muy limpio, ordenado y respetuoso.",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/02e58f1e-4ec5-488d-a117-c39690a462c3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/02e58f1e-4ec5-488d-a117-c39690a462c3.jpg?aki_policy=profile_x_medium,Constitución,1,1,"['email', 'phone']",t,f,"Buenos Aires, Capital Federal, Argentina",Constitucion,,-34.6226,-58.38704,Entire rental unit,Entire home/apt,2,null,1 bath,1,null,"[""Backyard"", ""Air conditioning"", ""Patio or balcony"", ""Bed linens"", ""TV with standard cable"", ""Heating"", ""Private entrance"", ""Paid parking off premises"", ""Dishes and silverware"", ""Elevator"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Washer"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Refrigerator"", ""Long term stays allowed"", ""Free street parking"", ""Kitchen""]",null,15,1125,15,15,1125,1125,15,1125,,,0,0,0,0,30/01/2025,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,,f,1,1,0,0,null
65446,https://www.airbnb.com/rooms/65446,2.02501E+13,30/01/2025,city scrape,Premier Loft with Breathtaking Views,"Amazing Loft/duplex apartment on the 25th floor with amazing views over Palermo Soho.<br />Building with 24 hours security, pool open  Nov 15 to Apr 15, laundry and gym.<br />Check in: 14PM & Check out 11AM.<br />Arrival between 20PM and midnight has a late fee of usd20.<br />Booking from the previous day allowed to check in as early 8AM.<br />NO check-in available after midnight.<br />Store Luggage : 9AM-16PM. <br />The apartment size Bed is 180 cm by 200 cm. <br />Feel free to contact me for further information.","If you’re an expat or vacationer spending time in Buenos Aires there’s really no way of avoiding Buenos Aires’ largest barrio (by area), Palermo. Even if you live somewhere else in the city you can guarantee that the vast majority of your expat friends, and probably a good part of your Argentine friends, will live there, and even if they don’t you’ll still want to go there to dine, party and shop.",https://a0.muscache.com/pictures/66295365/af6f48f4_original.jpg,319901,https://www.airbnb.com/users/show/319901,Ralf Dietmar,15/12/2010,"Buenos Aires, Argentina","Although a German national, I have  actually resided outside of my native country for almost half my life. My first ventured abroad to Greece where I  worked in guest relations at a premier hotel in Athens. From there I moved to Sydney, Australia where he held an post as personal assistant to a major politician within the Australian Parliament. Soon, with a desire to be more independent, I followed my instincts and in Sydney I opened, managed and ultimately sold, two very successful natural food and juice bars. It was then, in 2007, When I decided to return to a place which I had visited some years before---BUENOS AIRES, ARGENTINA---and now, it is the place I call home! 
",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_x_medium,Palermo,22,29,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58102,-58.42349,Entire condo,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Bathtub"", ""First aid kit"", ""Shared patio or balcony"", ""Backyard"", ""Bed linens"", ""Hair dryer"", ""Cleaning products"", ""TV with standard cable"", ""Shared pool - available seasonally, open specific hours"", ""Heating"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Dishwasher"", ""Elevator"", ""Essentials"", ""Oven"", ""Drying rack for clothing"", ""Hangers"", ""Microwave"", ""Conditioner"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Hot water"", ""Wifi"", ""Shared gym in building"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""City skyline view"", ""Smoke alarm"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Bidet"", ""Refrigerator"", ""Gas stove"", ""Fire extinguisher"", ""Long term stays allowed"", ""Kitchen"", ""Safe""]",126026,3,180,3,4,100,1125,3,1122.7,,t,0,5,31,306,30/01/2025,207,14,1,277,15,84,10586184,13/08/2011,03/01/2025,4.96,4.97,4.93,4.97,4.96,4.92,4.82,,t,22,22,0,0,1.26
66939,https://www.airbnb.com/rooms/66939,2.02501E+13,30/01/2025,city scrape,"★ Instaworthy Views, 20th Floor ★ Gym","• 20th floor luxury condo<br />• Floor-to-ceiling windows leading to private balcony and panoramic view<br />• Fully-stocked kitchen<br />• Extremely safe neighbourhood<br />• 24-hour security<br />• Laundry room<br />• Trendiest neighbourhood in Palermo<br />• Price includes weekly cleaning and linen change<br />• Wi-Fi, Bluetooth speaker, TV with international channels","Palermo Soho is THE place to be in Buenos Aires, with its tree-lined cobbled streets, village-feel, charming old buildings, trendy bars and restaurants and a multitude of shops. Five minutes’ walk and you are in Palermo Hollywood, another fabulous area to discover, with very trendy and gourmet restaurants.<br /><br />Most expats and tourists, but also locals, love to live and stay in the Palermo Soho neighbourhood. Even if you stay elsewhere, you will definitely want to come to the area again and again for dinner, drinks and shopping, so treat yourself by staying right in the middle of it all.",https://a0.muscache.com/pictures/20e302c0-64a2-44c9-a7d0-a40e68e18233.jpg,319901,https://www.airbnb.com/users/show/319901,Ralf Dietmar,15/12/2010,"Buenos Aires, Argentina","Although a German national, I have  actually resided outside of my native country for almost half my life. My first ventured abroad to Greece where I  worked in guest relations at a premier hotel in Athens. From there I moved to Sydney, Australia where he held an post as personal assistant to a major politician within the Australian Parliament. Soon, with a desire to be more independent, I followed my instincts and in Sydney I opened, managed and ultimately sold, two very successful natural food and juice bars. It was then, in 2007, When I decided to return to a place which I had visited some years before---BUENOS AIRES, ARGENTINA---and now, it is the place I call home! 
",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_x_medium,Palermo,22,29,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58267,-58.42497,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Bathtub"", ""First aid kit"", ""Patio or balcony"", ""Bed linens"", ""Hair dryer"", ""Cleaning products"", ""TV with standard cable"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Paid washer \u2013 In building"", ""Private entrance"", ""Dishes and silverware"", ""Elevator"", ""Essentials"", ""Oven"", ""Drying rack for clothing"", ""Hangers"", ""Microwave"", ""Conditioner"", ""Shared pool"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Wine glasses"", ""Hot water"", ""Wifi"", ""Shared gym in building"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Toaster"", ""City skyline view"", ""Smoke alarm"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Bidet"", ""Refrigerator"", ""Gas stove"", ""Fire extinguisher"", ""Long term stays allowed"", ""Kitchen"", ""Safe""]",84017,3,90,3,4,90,90,3,90,,t,0,11,41,274,30/01/2025,353,28,2,245,29,168,14114856,25/08/2011,07/01/2025,4.93,4.95,4.94,4.93,4.92,4.92,4.85,,f,22,22,0,0,2.16
66940,https://www.airbnb.com/rooms/66940,2.02501E+13,30/01/2025,city scrape,Pool View studio  ❤,Modern studio apartment in Palermo Soho neighborhood. Very comfortable in the best location. Pool open from November 15 until April 15<br />Building with 24 hours security .Sky Gym on the 31st floor.<br />Check In Rules:<br />Check in: 14PM & Check out 11AM.<br />Booking the apt. from the previous day allowed to check in as early 9AM.<br />Check in between Midnight and 9AM is NOT possible.<br />Any doubts about arrival let us know before you book.<br />If needed we can store your luggage after 9AM.,"Pool View apartment is ideally situated. This neighborhood is close to the city´s largest parkland including the Botanical Gardens, the Japinese Garden, the Rose Garden, the Zoo Garden, and Palermo lakes. Palermo is renowned for some of the hottest gay bars, restaurants, nightlife, and shopping boutiques along cobbled streets lined with trees and historic architecture buildings. Close to the Subte/Metro station and city bus routes, this Studio is the perfect place to call home as you explore the many diverse regions of this dazzling metropolis.<br />If you’re an expat or vacationer spending time in Buenos Aires there’s really no way of avoiding Buenos Aires’ largest barrio (by area), Palermo. Even if you live somewhere else in the city you can guarantee that the vast majority of your expat friends, and probably a good part of your Argentine friends, will live there, and even if they don’t you’ll still want to go there to dine, party and shop.",https://a0.muscache.com/pictures/66416501/b073fda0_original.jpg,319901,https://www.airbnb.com/users/show/319901,Ralf Dietmar,15/12/2010,"Buenos Aires, Argentina","Although a German national, I have  actually resided outside of my native country for almost half my life. My first ventured abroad to Greece where I  worked in guest relations at a premier hotel in Athens. From there I moved to Sydney, Australia where he held an post as personal assistant to a major politician within the Australian Parliament. Soon, with a desire to be more independent, I followed my instincts and in Sydney I opened, managed and ultimately sold, two very successful natural food and juice bars. It was then, in 2007, When I decided to return to a place which I had visited some years before---BUENOS AIRES, ARGENTINA---and now, it is the place I call home! 
",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_x_medium,Palermo,22,29,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58272,-58.42382,Entire condo,Entire home/apt,2,1,1 bath,1,1,"[""Bathtub"", ""Air conditioning"", ""First aid kit"", ""Backyard"", ""Patio or balcony"", ""Bed linens"", ""Hair dryer"", ""Cleaning products"", ""Clothing storage: closet"", ""TV with standard cable"", ""Heating"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Elevator"", ""Essentials"", ""Oven"", ""Drying rack for clothing"", ""Hangers"", ""Microwave"", ""Conditioner"", ""Shared pool"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hot water"", ""Wifi"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Toaster"", ""Smoke alarm"", ""Cooking basics"", ""Coffee maker"", ""Iron"", ""Host greets you"", ""Bidet"", ""Refrigerator"", ""Gas stove"", ""Fire extinguisher"", ""Pool view"", ""Gym"", ""Long term stays allowed"", ""Kitchen"", ""Safe""]",71415,3,90,3,4,1125,1125,3,1125,,t,0,0,0,213,30/01/2025,275,14,3,184,14,84,5998860,15/02/2012,12/01/2025,4.94,4.97,4.94,4.95,4.99,4.92,4.88,,f,22,22,0,0,1.74
68489,https://www.airbnb.com/rooms/68489,2.02501E+13,30/01/2025,city scrape,Best Block in Palermo Hollywood,"High-end 1BR apartment w/ private balcony. Equipped with top-quality furnishings & appliances, and located on the best block of Palermo Hollywood. Right in the heart of it all, yet on a 4th floor and surrounded by trees.",Palermo Hollywood,https://a0.muscache.com/pictures/prohost-api/Hosting-68489/original/95424772-091e-495e-82a4-2e873f406fae.jpeg,4405670,https://www.airbnb.com/users/show/4405670,Andy,14/12/2012,"Buenos Aires, Argentina","Hi! And thank you for your interest in our property. I'm fluent and comfortable speaking English and Spanish. I manage temporary rentals here in Buenos Aires and also in Mar del Plata, with my brother-in-law Dave, who used to be an expat in BA but is now back in the US running rentals there, our collaborator Sam, who is a freelance journalist originally from England but based in BA for a number of years now, and our collaborator Adriana in Mar del Plata. 

We've been doing this since 2011 with great results, particulary with regards to the satisfaction that our guests have expressed in their reviews and kind words to us. I believe our apartments are excellent and we strive to provide a delightful experience for everyone staying at them.

I'm passionate about engineering, science, history, art, cooking and sports, and enjoy meeting our guests to introduce them to our lovely city.

Como digo arriba, también hablamos español. Para resumir lo dicho en inglés, soy de Buenos Aires y, junto con mi cuñado y ...",within an hour,100%,97%,t,https://a0.muscache.com/im/users/4405670/profile_pic/1355513450/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4405670/profile_pic/1355513450/original.jpg?aki_policy=profile_x_medium,Palermo,9,10,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58045,-58.43208,Entire condo,Entire home/apt,3,1,1 bath,1,1,"[""Bathtub"", ""Bed linens"", ""Cleaning products"", ""Clothing storage: closet"", ""Outdoor furniture"", ""Heating - split type ductless system"", ""Paid parking off premises"", ""Dishes and silverware"", ""Elevator"", ""Essentials"", ""Oven"", ""Cleaning available during stay"", ""Hangers"", ""Laundromat nearby"", ""Microwave"", ""Private patio or balcony"", ""Single level home"", ""Stove"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Wine glasses"", ""Hot water"", ""Coffee maker: drip coffee maker"", ""Wifi"", ""Dining table"", ""Body soap"", ""Toaster"", ""Extra pillows and blankets"", ""Cooking basics"", ""Host greets you"", ""Iron"", ""Bidet"", ""Refrigerator"", ""Long term stays allowed"", ""Free street parking"", ""Kitchen"", ""Free washer \u2013 In building"", ""Freezer"", ""40 inch TV""]",79669,3,365,3,7,365,365,3.6,365,,t,16,34,58,292,30/01/2025,155,1,0,292,2,6,478014,09/03/2011,27/10/2024,4.8,4.87,4.74,4.95,4.9,4.84,4.73,,t,8,8,0,0,0.92
