listing_id,id,date,reviewer_id,reviewer_name,comments
11508,1615861,02/07/2012,877808,Charlie,"Amazing place!
<br/>
<br/>Location: short walk to all the bars and shops in Palermo soho and hollywood, plus also the subway
<br/>
<br/>Apartment: v modern and with all you could want. Living room was perfect for relaxing in with a large sofa, massive TV and amazing view through the floor to ceiling windows. Bedroom hits the spot with a big windows,  wardrobe and comfy bed. Bathroom also of the same standard
<br/>
<br/>Building: has an amazing gym set-up on the 31 floor - always seemed to be empty and a real pleasure to use. "
11508,3157005,26/12/2012,656077,Shaily,"Really enjoyed Candela's recommendations and quick communication! Had a wonderful time in BsAs, enjoy this apartment!"
11508,3281011,05/01/2013,2835998,Michiel,"Candela and her colleague were very attentive and quick to respond, absolutely wonderful. The apartment is beautiful, well equipped and conveniently located close to the historic part of Palermo, bars and excellent restaurants. I highly recommend this place."
11508,6050019,28/07/2013,4600436,Tara,"The apartment was in a beautiful, modern building, was wonderfully decorated and equip with all of the modern amenities. We not only loved the apartment, but the location was ideal. We were walking distance to the Subte and to my job in Palermo Soho. We were surrounded by lots of restaurants and boutiques. The only issue with this apartment is the noise. The neighbors on our floor had a dog that barked constantly and often times woke us up at night. We spoke with Candela who tried to help us solve the issue and it seems as though many neighbors have complained about dogs in the building and that they might be more selective in the future. We hope that's the case because it's a beautiful place to live otherwise."
11508,9328455,22/12/2013,3130017,Simon,"My stay at Candela's apartment was very enjoyable. The apartment looks exactly like the photos.  Candela is very hospitable and does everything to make the stay enjoyable. I would recommend this place to anyone wishing to visit Buenos Aires. The location is also an added bonus, very close to the D line Subte and bus connections from Plaza Italia. The parks are very close by as are many great restaurants and coffee shops. "
11508,22761704,14/11/2014,13740201,Neil,"Very nice place, just as shown in the pictures.  Close to everything - stores, Palermo Viejo, botanical garden, and the subte station.  Candela made everything easy.  Thanks!"
11508,25002055,05/01/2015,10434099,Lars,"Thank you for everything, Candela. Die Wohnung und die Anlage ist genauso wie versprochen. Meine Sonderwünsche konnten alle berücksichtigt werden. Beim Check-in und Check-out war Candela sehr flexibel!"
11508,27194703,28/02/2015,2842054,Mike,"We had admired the Palermo Uno building on previous visits to Buenos Aires and it did not disappoint.  The location is prime, and the apartment, furnishings, building amenities and security are all first-rate.  Candela is a friendly, gracious host, and her onsite manager could not have been more helpful.  The view from the gym on the 31st floor is the visual definition of awesome.  Thanks for a great experience!"
11508,33645579,31/05/2015,26329745,David,"Candela did a great job accommodating us.  While she was not there personally, she had a friend meet us at the unit and let us in and get us situated.  Any issues we had were quickly fixed. <br/>The unit itself is in an excellent location. Close to the parks and attractions in and around the park (zoo, planetarium, Japanese gardens, MALBA) as well as all of the great restaurants in Palermo SOHO. We could not have asked for a better location.  <br/>The unit was also clean and had some good books on BA to review.  The bed was very comfortable!The unit had a decent gym and good security. <br/>The only negative was noise.  The sounds of dogs and babies was so loud they sounded like they were in the unit. There is also a water pipe in the wall that is poorly insulated so you constant hear water flushing through the pipes.  If you're a light sleeper, this apartment isn't for you.  Otherwise it is fantastic and in a great location. "
11508,40435539,31/07/2015,6618079,Elizabeth,"Candela was a very good host. Although I did not meet her in person she was quick to respond to any questions or concerns. The apartment itself is just as described.  I was very comfortable for the two months that I lived there, the bed was wonderful, and everything worked perfectly in the apartment. In terms of the location, it was also very convenient, near the metro (Plaza Italia) and Santa Fe, which has all the bus connections you could ever need. My one caveat would be that the neighbors have a very annoying dog that barks all the time. It didn't really bother me much because I sleep very deep and I was out of the house most of the day, but if you are a light sleeper this might be an issue. Sadly this is out of Candela's control, but it would only be fair to mention it. Beyond that, I would recommend this apartment and great building."
11508,58489568,03/01/2016,24103270,Andres,"Candela's apartment listing description was accurate. She was very responsive. It is a lovely space, great location and wonderful amenities. An amazing view from the gym on the 31st floor. Lovely sauna and jacuzzi on the 32nd floor, and great pool and sunbathing area. All the staff in the building was very friendly and responsive to any needs. They made me feel very welcome.
<br/>
<br/>The building is two books away from the Subte (public transportation - subway), walking distance to great coffee shops, retail stores, ice-cream parlours and restaurants. The building is located in Palermo Soho and walking distance to Palermo Hollywood and Recoleta. It is couple of books away from ""Bosques de Palermo"", the planetarium, the Botanical Garden and the Japanese Garden. All fantastic outdoor green areas for safe walks or to practice outdoor sports. 
<br/>
<br/>I have been visiting Argentina for over 20 years now. I have been coming at least twice a year for work during the last 3 years, and this was the best accom..."
11508,68315541,04/04/2016,12506315,Javier,"El apartamento es muy cómodo, tiene mucha luz y está muy bien distribuido. El edificio es bastante nuevo y los amenities como gimnasio y piscina están muy bien. El apartamento incluye equipamiento suficiente como platos, vasos, toallas. He estado muy a gusto en mi estancia de 2 meses. Repetiría sin dudar. El contacto con Candela ha sido fluido tanto a la entrada como en la salida."
